title,slug,size,html,css,editorial_type,topics
"A routine is a sequence, not a shelf","routine-is-a-sequence","responsive","<article class=""adazo-routine-is-a-sequence"" aria-label=""Adazo editorial note""><small>Design note</small><h3>A routine is a sequence, not a shelf</h3><p>A thoughtful routine is less about owning every step and more about knowing what comes first, what can wait, and what you will actually repeat.</p><span aria-hidden=""true"">✦</span></article>",".adazo-routine-is-a-sequence,.adazo-routine-is-a-sequence *{box-sizing:border-box}.adazo-routine-is-a-sequence{display:grid;grid-template-columns:minmax(130px,.65fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #d3a45f66;border-left:5px solid #d3a45f;border-radius:6px 18px 6px 18px;background:linear-gradient(112deg,#18362d,#31594b);color:#fff9f0;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-routine-is-a-sequence:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #d3a45f80;border-radius:50%;opacity:.5}.adazo-routine-is-a-sequence small{position:relative;color:#d3a45f;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-routine-is-a-sequence h3,.adazo-routine-is-a-sequence p{position:relative;margin:0}.adazo-routine-is-a-sequence h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-routine-is-a-sequence p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-routine-is-a-sequence>span{position:relative;color:#d3a45f;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-routine-is-a-sequence{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-routine-is-a-sequence>span{text-align:left;font-size:22px}}","design_note","beauty,self-care,routine"
"The barrier likes fewer surprises","barrier-likes-fewer-surprises","responsive","<article class=""adazo-barrier-likes-fewer-surprises"" aria-label=""Adazo editorial note""><small>Care note</small><h3>The barrier likes fewer surprises</h3><p>When a routine changes, changing one variable at a time makes it easier to notice what feels comfortable and what does not.</p><span aria-hidden=""true"">✦</span></article>",".adazo-barrier-likes-fewer-surprises,.adazo-barrier-likes-fewer-surprises *{box-sizing:border-box}.adazo-barrier-likes-fewer-surprises{display:grid;grid-template-columns:minmax(180px,1fr) minmax(220px,1.5fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #f0a28e66;border-left:5px solid #f0a28e;border-radius:18px 6px 18px 6px;background:linear-gradient(112deg,#442b2d,#754448);color:#fff8f3;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-barrier-likes-fewer-surprises:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #f0a28e80;border-radius:50%;opacity:.5}.adazo-barrier-likes-fewer-surprises small{position:relative;color:#f0a28e;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-barrier-likes-fewer-surprises h3,.adazo-barrier-likes-fewer-surprises p{position:relative;margin:0}.adazo-barrier-likes-fewer-surprises h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-barrier-likes-fewer-surprises p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-barrier-likes-fewer-surprises>span{position:relative;color:#f0a28e;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-barrier-likes-fewer-surprises{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-barrier-likes-fewer-surprises>span{text-align:left;font-size:22px}}","care_tip","skin,ingredients,self-care"
"Texture is a useful clue","texture-is-a-useful-clue","responsive","<article class=""adazo-texture-is-a-useful-clue"" aria-label=""Adazo editorial note""><small>Did you know?</small><h3>Texture is a useful clue</h3><p>A finish can tell you where a product belongs in your day: light layers suit daytime, while richer textures often feel better as a final evening step.</p><span aria-hidden=""true"">✦</span></article>",".adazo-texture-is-a-useful-clue,.adazo-texture-is-a-useful-clue *{box-sizing:border-box}.adazo-texture-is-a-useful-clue{display:grid;grid-template-columns:minmax(150px,.8fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #a7c5e866;border-left:5px solid #a7c5e8;border-radius:6px 18px 6px 18px;background:linear-gradient(112deg,#26354a,#3e5774);color:#f6f7ff;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-texture-is-a-useful-clue:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #a7c5e880;border-radius:50%;opacity:.5}.adazo-texture-is-a-useful-clue small{position:relative;color:#a7c5e8;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-texture-is-a-useful-clue h3,.adazo-texture-is-a-useful-clue p{position:relative;margin:0}.adazo-texture-is-a-useful-clue h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-texture-is-a-useful-clue p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-texture-is-a-useful-clue>span{position:relative;color:#a7c5e8;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-texture-is-a-useful-clue{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-texture-is-a-useful-clue>span{text-align:left;font-size:22px}}","did_you_know","skin,routine,beauty"
"SPF is a morning habit","spf-is-a-morning-habit","responsive","<article class=""adazo-spf-is-a-morning-habit"" aria-label=""Adazo editorial note""><small>Care note</small><h3>SPF is a morning habit</h3><p>Sun protection works best as a repeatable part of the morning routine, not a last-minute detail reserved for beach days.</p><span aria-hidden=""true"">✦</span></article>",".adazo-spf-is-a-morning-habit,.adazo-spf-is-a-morning-habit *{box-sizing:border-box}.adazo-spf-is-a-morning-habit{display:grid;grid-template-columns:minmax(130px,.65fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #e8c57d66;border-left:5px solid #e8c57d;border-radius:18px 6px 18px 6px;background:linear-gradient(112deg,#57452d,#7b6340);color:#fffaf1;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-spf-is-a-morning-habit:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #e8c57d80;border-radius:50%;opacity:.5}.adazo-spf-is-a-morning-habit small{position:relative;color:#e8c57d;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-spf-is-a-morning-habit h3,.adazo-spf-is-a-morning-habit p{position:relative;margin:0}.adazo-spf-is-a-morning-habit h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-spf-is-a-morning-habit p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-spf-is-a-morning-habit>span{position:relative;color:#e8c57d;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-spf-is-a-morning-habit{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-spf-is-a-morning-habit>span{text-align:left;font-size:22px}}","care_tip","skin,self-care,routine"
"A patch test is a small favor","patch-test-is-a-small-favor","responsive","<article class=""adazo-patch-test-is-a-small-favor"" aria-label=""Adazo editorial note""><small>Care note</small><h3>A patch test is a small favor</h3><p>Trying a new formula on a small area first gives you useful information before it becomes part of your whole routine.</p><span aria-hidden=""true"">✦</span></article>",".adazo-patch-test-is-a-small-favor,.adazo-patch-test-is-a-small-favor *{box-sizing:border-box}.adazo-patch-test-is-a-small-favor{display:grid;grid-template-columns:minmax(180px,1fr) minmax(220px,1.5fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #d3a45f66;border-left:5px solid #d3a45f;border-radius:6px 18px 6px 18px;background:linear-gradient(112deg,#18362d,#31594b);color:#fff9f0;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-patch-test-is-a-small-favor:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #d3a45f80;border-radius:50%;opacity:.5}.adazo-patch-test-is-a-small-favor small{position:relative;color:#d3a45f;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-patch-test-is-a-small-favor h3,.adazo-patch-test-is-a-small-favor p{position:relative;margin:0}.adazo-patch-test-is-a-small-favor h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-patch-test-is-a-small-favor p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-patch-test-is-a-small-favor>span{position:relative;color:#d3a45f;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-patch-test-is-a-small-favor{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-patch-test-is-a-small-favor>span{text-align:left;font-size:22px}}","care_tip","skin,ingredients,self-care"
"The best shade is the one you reach for","best-shade-is-reachable","responsive","<article class=""adazo-best-shade-is-reachable"" aria-label=""Adazo editorial note""><small>Quick insight</small><h3>The best shade is the one you reach for</h3><p>A beautiful color earns its place when it works with the clothes, light, and mood you already live in.</p><span aria-hidden=""true"">✦</span></article>",".adazo-best-shade-is-reachable,.adazo-best-shade-is-reachable *{box-sizing:border-box}.adazo-best-shade-is-reachable{display:grid;grid-template-columns:minmax(150px,.8fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #f0a28e66;border-left:5px solid #f0a28e;border-radius:18px 6px 18px 6px;background:linear-gradient(112deg,#442b2d,#754448);color:#fff8f3;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-best-shade-is-reachable:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #f0a28e80;border-radius:50%;opacity:.5}.adazo-best-shade-is-reachable small{position:relative;color:#f0a28e;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-best-shade-is-reachable h3,.adazo-best-shade-is-reachable p{position:relative;margin:0}.adazo-best-shade-is-reachable h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-best-shade-is-reachable p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-best-shade-is-reachable>span{position:relative;color:#f0a28e;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-best-shade-is-reachable{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-best-shade-is-reachable>span{text-align:left;font-size:22px}}","fun_fact","beauty,makeup,routine"
"Warm and cool are starting points","warm-cool-is-a-starting-point","responsive","<article class=""adazo-warm-cool-is-a-starting-point"" aria-label=""Adazo editorial note""><small>Design note</small><h3>Warm and cool are starting points</h3><p>Undertone language is helpful, but your own lighting and contrast matter more than a label. Test near a window when possible.</p><span aria-hidden=""true"">✦</span></article>",".adazo-warm-cool-is-a-starting-point,.adazo-warm-cool-is-a-starting-point *{box-sizing:border-box}.adazo-warm-cool-is-a-starting-point{display:grid;grid-template-columns:minmax(130px,.65fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #a7c5e866;border-left:5px solid #a7c5e8;border-radius:6px 18px 6px 18px;background:linear-gradient(112deg,#26354a,#3e5774);color:#f6f7ff;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-warm-cool-is-a-starting-point:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #a7c5e880;border-radius:50%;opacity:.5}.adazo-warm-cool-is-a-starting-point small{position:relative;color:#a7c5e8;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-warm-cool-is-a-starting-point h3,.adazo-warm-cool-is-a-starting-point p{position:relative;margin:0}.adazo-warm-cool-is-a-starting-point h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-warm-cool-is-a-starting-point p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-warm-cool-is-a-starting-point>span{position:relative;color:#a7c5e8;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-warm-cool-is-a-starting-point{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-warm-cool-is-a-starting-point>span{text-align:left;font-size:22px}}","design_note","beauty,makeup"
"Fragrance has a dry-down","fragrance-has-a-dry-down","responsive","<article class=""adazo-fragrance-has-a-dry-down"" aria-label=""Adazo editorial note""><small>Did you know?</small><h3>Fragrance has a dry-down</h3><p>A scent evolves after the first spray. Give it a little time on skin before deciding whether the later notes belong with you.</p><span aria-hidden=""true"">✦</span></article>",".adazo-fragrance-has-a-dry-down,.adazo-fragrance-has-a-dry-down *{box-sizing:border-box}.adazo-fragrance-has-a-dry-down{display:grid;grid-template-columns:minmax(180px,1fr) minmax(220px,1.5fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #e8c57d66;border-left:5px solid #e8c57d;border-radius:18px 6px 18px 6px;background:linear-gradient(112deg,#57452d,#7b6340);color:#fffaf1;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-fragrance-has-a-dry-down:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #e8c57d80;border-radius:50%;opacity:.5}.adazo-fragrance-has-a-dry-down small{position:relative;color:#e8c57d;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-fragrance-has-a-dry-down h3,.adazo-fragrance-has-a-dry-down p{position:relative;margin:0}.adazo-fragrance-has-a-dry-down h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-fragrance-has-a-dry-down p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-fragrance-has-a-dry-down>span{position:relative;color:#e8c57d;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-fragrance-has-a-dry-down{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-fragrance-has-a-dry-down>span{text-align:left;font-size:22px}}","did_you_know","fragrance,beauty"
"Hair likes the right amount of friction","hair-likes-right-friction","responsive","<article class=""adazo-hair-likes-right-friction"" aria-label=""Adazo editorial note""><small>Care note</small><h3>Hair likes the right amount of friction</h3><p>Gentle detangling, a soft towel, and fewer rushed passes can make a routine feel kinder without adding another product.</p><span aria-hidden=""true"">✦</span></article>",".adazo-hair-likes-right-friction,.adazo-hair-likes-right-friction *{box-sizing:border-box}.adazo-hair-likes-right-friction{display:grid;grid-template-columns:minmax(150px,.8fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #d3a45f66;border-left:5px solid #d3a45f;border-radius:6px 18px 6px 18px;background:linear-gradient(112deg,#18362d,#31594b);color:#fff9f0;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-hair-likes-right-friction:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #d3a45f80;border-radius:50%;opacity:.5}.adazo-hair-likes-right-friction small{position:relative;color:#d3a45f;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-hair-likes-right-friction h3,.adazo-hair-likes-right-friction p{position:relative;margin:0}.adazo-hair-likes-right-friction h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-hair-likes-right-friction p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-hair-likes-right-friction>span{position:relative;color:#d3a45f;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-hair-likes-right-friction{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-hair-likes-right-friction>span{text-align:left;font-size:22px}}","care_tip","hair,self-care,routine"
"Scalp care starts with consistency","scalp-care-starts-consistently","responsive","<article class=""adazo-scalp-care-starts-consistently"" aria-label=""Adazo editorial note""><small>Design note</small><h3>Scalp care starts with consistency</h3><p>A simple, repeatable wash rhythm is easier to evaluate than a cabinet full of occasional experiments.</p><span aria-hidden=""true"">✦</span></article>",".adazo-scalp-care-starts-consistently,.adazo-scalp-care-starts-consistently *{box-sizing:border-box}.adazo-scalp-care-starts-consistently{display:grid;grid-template-columns:minmax(130px,.65fr) minmax(220px,2fr) auto;align-items:center;gap:24px;width:100%;min-height:138px;padding:24px 30px;border:1px solid #f0a28e66;border-left:5px solid #f0a28e;border-radius:18px 6px 18px 6px;background:linear-gradient(112deg,#442b2d,#754448);color:#fff8f3;font-family:inherit;box-shadow:0 22px 55px -38px rgba(0,0,0,.62);position:relative;overflow:hidden}.adazo-scalp-care-starts-consistently:after{content:"""";position:absolute;width:190px;height:190px;right:-110px;top:-124px;border:1px solid #f0a28e80;border-radius:50%;opacity:.5}.adazo-scalp-care-starts-consistently small{position:relative;color:#f0a28e;font-size:10px;font-weight:800;letter-spacing:.16em;text-transform:uppercase}.adazo-scalp-care-starts-consistently h3,.adazo-scalp-care-starts-consistently p{position:relative;margin:0}.adazo-scalp-care-starts-consistently h3{font-size:clamp(20px,2.4vw,30px);line-height:1.04;letter-spacing:-.035em}.adazo-scalp-care-starts-consistently p{max-width:680px;margin-top:8px;font-size:13px;line-height:1.5;opacity:.9}.adazo-scalp-care-starts-consistently>span{position:relative;color:#f0a28e;font-size:28px;font-weight:700;text-align:right}@media(max-width:680px){.adazo-scalp-care-starts-consistently{grid-template-columns:1fr;gap:9px;padding:21px;min-height:190px}.adazo-scalp-care-starts-consistently>span{text-align:left;font-size:22px}}","design_note","hair,self-care,routine"
